Date,Open,High,Low,Close,Adj Close,Volume
1/12/2023,161,166.369995,154.919998,165.110001,165.051285,55140900
1/13/2023,162.779999,169.220001,161.649994,168.990005,168.929916,44728700
1/17/2023,168.990005,177.279999,168.990005,177.020004,176.957047,51110200
1/18/2023,176.669998,178.729996,172.820007,173.770004,173.708206,43962400
1/19/2023,170.360001,171.970001,167.309998,167.649994,167.590378,45293200
1/20/2023,170.110001,178.559998,168.25,178.389999,178.326553,56496700
1/23/2023,180.639999,192.449997,178.179993,191.929993,191.86174,65516300
1/24/2023,188.270004,194.949997,188.199997,192.649994,192.581482,49620400
1/25/2023,189.130005,193.699997,185.800003,193.229996,193.161285,44953700
1/26/2023,197.009995,201.660004,192.779999,198.020004,197.949585,48953500
1/27/2023,194.619995,206.279999,194.050003,203.649994,203.577576,54214200
1/30/2023,199.5,201.399994,191.5,191.619995,191.551865,48861100
1/31/2023,191.699997,196.869995,189.5,195.369995,195.300507,49801700
2/1/2023,196.910004,211.919998,196.110001,209.429993,209.355515,66047700
2/2/2023,210,219.490005,207,217.089996,217.012787,56427600
2/3/2023,210,217.449997,207.889999,211,210.924957,42936600
2/6/2023,208.059998,215.699997,207.860001,210.889999,210.815002,45219700
2/7/2023,213.820007,222.589996,211.5,221.729996,221.651154,66415000
2/8/2023,223.869995,228.779999,220.080002,222.050003,221.971024,55965100
2/9/2023,226.059998,230.199997,221.199997,223.369995,223.290558,52387600
2/10/2023,216.899994,220.779999,208.110001,212.649994,212.574371,55073700
2/13/2023,215.380005,220.479996,209.619995,217.880005,217.802536,47491900
2/14/2023,215.779999,230.490005,213.660004,229.710007,229.628311,67547400
2/15/2023,225.490005,228.550003,221.059998,227.639999,227.559036,42057500
2/16/2023,221.330002,225.5,219.270004,220.020004,219.941757,41202600
2/17/2023,216.309998,217.399994,209.75,213.880005,213.80394,46588800
2/21/2023,210,214.940002,206.179993,206.550003,206.476547,41001500
2/22/2023,207.070007,211.039993,204.210007,207.539993,207.466202,51318400
2/23/2023,234.399994,238.880005,230.25,236.639999,236.555847,111799500
2/24/2023,232.25,234.740005,229.470001,232.860001,232.777191,58971600
2/27/2023,236.699997,238.800003,234.539993,235.009995,234.926407,45299400
2/28/2023,233.720001,238.25,232.059998,232.160004,232.077454,45596300
3/1/2023,231.919998,232.559998,225.080002,226.979996,226.899277,46002600
3/2/2023,224.880005,233.800003,224.320007,233.139999,233.057083,38941500
3/3/2023,233.199997,239,231.300003,238.899994,238.815033,41239300
3/6/2023,238.910004,242.479996,234.869995,235.539993,235.456223,43742900
3/7/2023,236,241.25,232.410004,232.880005,232.836731,51515400
3/8/2023,234.869995,242,234.240005,241.809998,241.76506,51357300
3/9/2023,241.75,244.539993,233.830002,234.360001,234.316452,50125700
3/10/2023,234.089996,236.270004,227.259995,229.649994,229.607315,47486600
3/13/2023,227.520004,232.979996,222.970001,229.660004,229.617325,42189000
3/14/2023,234.960007,242.190002,234.600006,240.630005,240.585281,47491000
3/15/2023,237.610001,242.860001,233.600006,242.279999,242.23497,52448600
3/16/2023,240.270004,255.880005,238.940002,255.410004,255.362534,58325300
3/17/2023,259.820007,263.98999,256.679993,257.25,257.202209,84854700
3/20/2023,256.149994,260.23999,251.300003,259,258.951874,43274700
3/21/2023,261.799988,263.920013,253.809998,261.98999,261.941315,54740800
3/22/2023,264.25,275.890015,262.369995,264.679993,264.630829,79729500
3/23/2023,271.149994,274.98999,266.899994,271.910004,271.859467,56488900
3/24/2023,270.309998,271.670013,263.549988,267.790009,267.740234,45492000
3/27/2023,268.369995,270,263.649994,265.309998,265.260712,36102600
3/28/2023,264.470001,265.130005,258.5,264.100006,264.050934,35610400
3/29/2023,268.25,270.779999,265.970001,269.839996,269.789856,39369400
3/30/2023,272.290009,274.98999,271.019989,273.829987,273.779114,36451600
3/31/2023,271.399994,278.339996,271.049988,277.769989,277.718353,43393300
4/3/2023,275.089996,280,273.359985,279.649994,279.598022,39871600
4/4/2023,279.660004,280,273.070007,274.529999,274.478973,36859200
4/5/2023,268.290009,269.980011,263.950012,268.809998,268.76004,51501500
4/6/2023,265.839996,270.799988,264.269989,270.369995,270.319733,39765400
4/10/2023,268.230011,276.209991,266.690002,275.790009,275.73877,39527900
4/11/2023,277.23999,277.899994,271.26001,271.690002,271.639526,31437800
4/12/2023,273.700012,274.679993,264.480011,264.950012,264.900787,44625900
4/13/2023,267.339996,268.869995,263.290009,264.630005,264.580841,35361500
4/14/2023,265.040009,268.829987,262.200012,267.579987,267.530273,39566000
4/17/2023,265.649994,270.059998,264.329987,270.019989,269.969818,32147100
4/18/2023,275.329987,281.100006,273.570007,276.670013,276.618591,60481200
4/19/2023,273.609985,280,272.320007,279.309998,279.258087,35866000
4/20/2023,276.709991,280.299988,270,271.040009,270.989624,42771300
4/21/2023,269.519989,271.829987,267.220001,271.190002,271.139618,34510300
4/24/2023,270.130005,273.660004,266.709991,270.420013,270.369751,33928200
4/25/2023,270.779999,272.470001,262.25,262.410004,262.361237,37852700
4/26/2023,270.019989,273.299988,267.049988,269.559998,269.509888,40633700
4/27/2023,273.630005,274.950012,266.25,272.26001,272.209412,37716100
4/28/2023,272.25,277.579987,270.709991,277.48999,277.438416,29168700
5/1/2023,278.399994,290.579987,277.799988,289.100006,289.046295,57032900
5/2/2023,286.799988,288.359985,280.829987,282.100006,282.047607,40273000
5/3/2023,278.399994,283.670013,274.720001,278.019989,277.968323,38338700
5/4/2023,276.51001,278.589996,272.399994,275.619995,275.568787,32185000
5/5/2023,278.26001,287.549988,277.309998,286.799988,286.746704,36101400
5/8/2023,285.220001,292.200012,283.5,291.51001,291.455841,34497900
5/9/2023,288.98999,289.730011,284.5,285.709991,285.656891,31486900
5/10/2023,290.049988,291.130005,284.609985,288.850006,288.796326,36935000
5/11/2023,288.959991,289.5,282.459991,285.779999,285.726898,32214900
5/12/2023,285.290009,287.799988,280.459991,283.399994,283.347321,27402700
5/15/2023,285.079987,289.690002,281.519989,289.529999,289.476166,29392600
5/16/2023,288.410004,298.700012,288.320007,292.130005,292.075714,44940500
5/17/2023,295.839996,301.98999,294.299988,301.779999,301.723907,43253500
5/18/2023,304.100006,318.279999,303.200012,316.779999,316.72113,74872500
5/19/2023,315.359985,315.799988,309.160004,312.640015,312.581909,47312400
5/22/2023,309.01001,315.200012,306.799988,311.76001,311.702057,37200000
5/23/2023,310,312.880005,306.309998,306.880005,306.822998,35625300
5/24/2023,302.100006,306.070007,298.059998,305.380005,305.323273,72141900
5/25/2023,385.230011,394.799988,366.350006,379.799988,379.729401,154391100
5/26/2023,378.899994,391.700012,375.5,389.459991,389.387634,71439700
5/30/2023,405.950012,419.380005,399.48999,401.109985,401.035431,92340100
5/31/2023,394.880005,402.950012,378.220001,378.339996,378.269684,100258000
6/1/2023,384.890015,400.5,383.399994,397.700012,397.626129,63587300
6/2/2023,400.970001,405,390.579987,393.269989,393.196899,48165500
6/5/2023,389.089996,395.649994,387.070007,391.709991,391.637207,39609400
6/6/2023,388.299988,391.600006,381.480011,386.540009,386.46817,38872900
6/7/2023,389.149994,394.98999,373.559998,374.75,374.719116,51199800
6/8/2023,377.23999,388.640015,375.049988,385.100006,385.068298,41777200
6/9/2023,390.369995,397.109985,385.670013,387.700012,387.668091,42722000
6/12/2023,392,395.299988,386.179993,394.820007,394.787476,38870100
6/13/2023,401.859985,411.01001,397.399994,410.220001,410.186218,61320800
6/14/2023,408.23999,430,405.519989,429.970001,429.93457,74046500
